Index,Start Time,End Time,Query Granularity,RNS SubNetwork,RNC Managed NE,RNC Managed NE Name,Location Name,CS Traffic (Erl)_VNM,PS Traffic (GB),TEMP1_VNM,Average HSDPA User_VNM,CS Att_VNM,CS Cong_VNM,CS CR_VNM,PS Att_VNM,PS Cong_VNM,PS CR_VNM,CS RAB Att_VNM_2,TEMP2_VNM,TEMP3_VNM,PS RAB Att_VNM_2,TEMP4_VNM,TEMP5_VNM,CS RRC Att_VNM,CS RRC Succ_VNM,TEMP6_VNM,TEMP7_VNM,CS RAB Att_VNM,CS RAB Succ_VNM,CS CSSR_VNM,PS RRC Att_VNM,PS RRC Succ_VNM,TEMP8_VNM,TEMP9_VNM,PS RAB Att_VNM,PS RAB Succ_VNM,PS CSSR_VNM,CS Call Att_VNM,CS Call Drop_VNM,CS CDR_VNM,PS Call Att_HSDPA_VNM,PS Call Drop_HSDPA_VNM,PS CDR_HSDPA_VNM,PS Call Att_R99_VNM,PS Call Drop_R99_VNM,PS CDR_R99_VNM,TEMP10_VNM,TEMP11_VNM,TEMP12_VNM,CS Soft HO Att_VNM,CS Soft HO Succ_VNM,CS Soft HOSR_VNM,PS Soft HO Att_VNM,PS Soft HO Succ_VNM,PS Soft HOSR_VNM,CS Hard HO Att_VNM,CS Hard HO Succ_VNM,CS Hard HOSR_VNM,PS Hard HO Att_VNM,PS Hard HO Succ_VNM,PS Hard HOSR_VNM,CS InterRAT HO Att_VNM,CS InterRAT HO Succ_VNM,CS InterRAT HOSR_VNM,PS InterRAT HO Att_VNM,PS InterRAT HO Succ_VNM,PS InterRAT HOSR_VNM,HSDPA User Throughput_VNM_Num,HSDPA User Throughput_VNM_Den,HSDPA User Throughput_VNM,HSUPA User Throughput_VNM_Num,HSUPA User Throughput_VNM_Den,HSUPA User Throughput_VNM,RTWP_VNM_Num,RTWP_VNM_Den,RTWP_VNM
22,2025-07-26 00:00:00,2025-07-27 00:00:00,1Day(s),102,102,HNRZ02(102),,41.6331,561.2087,0,1623.7254,2786,0,0.0,215278,0,0.0,2786,0,0,214725,0,0,2542,2537,0,0,2786,2784,99.7317,118166,117594,0,0,214725,214125,99.2379,2606,2,0.0767,699941,7097,1.0139,614237,916,0.1491,0,0,0,16029,16029,100.0,1587333,1587221,99.9929,72,70,97.2222,0,0,0,0,0,0,0,0,0,3984332530,1934761,2059.3407,480444092,1728861,277.8963,-435510751.6,4093004,-106.4037
21,2025-07-26 00:00:00,2025-07-27 00:00:00,1Day(s),101,101,HNRZ01(101),,12.3569,171.3391,0,400.4803,738,0,0.0,65920,0,0.0,738,0,0,65824,0,0,600,584,0,0,738,738,97.3333,66659,66257,0,0,65824,65538,98.9651,735,0,0.0,213237,3154,1.4791,276703,868,0.3137,0,0,0,4357,4357,100.0,211813,211810,99.9986,0,0,0.0,0,0,0,0,0,0,0,0,0,1270371972,546407,2324.9547,136629172,524243,260.6215,-124659807.8,1161309,-107.3442
23,2025-07-27 00:00:00,2025-07-28 00:00:00,1Day(s),101,101,HNRZ01(101),,13.1192,191.1696,0,427.2769,815,0,0.0,71123,0,0.0,815,0,0,71050,0,0,711,696,0,0,815,815,97.8903,71061,70813,0,0,71050,70723,99.1924,804,0,0.0,235953,2858,1.2113,301184,848,0.2816,0,0,0,3472,3467,99.856,245126,245122,99.9984,0,0,0.0,0,0,0,0,0,0,0,0,0,1399608582,569130,2459.2054,156584753,555624,281.8177,-132143608.2,1234801,-107.0161
24,2025-07-27 00:00:00,2025-07-28 00:00:00,1Day(s),102,102,HNRZ02(102),,38.2256,515.8697,0,1505.4446,2661,0,0.0,207764,0,0.0,2661,0,0,207040,0,0,2437,2436,0,0,2661,2659,99.8838,112587,111920,0,0,207040,206530,99.1627,2501,0,0.0,674009,5860,0.8694,593628,841,0.1417,0,0,0,15718,15718,100.0,1508365,1508023,99.9773,55,54,98.1818,5,5,100,0,0,0,0,0,0,3656220784,1755948,2082.1908,440548063,1563038,281.8536,-435424508.5,4093082,-106.3806
25,2025-07-28 00:00:00,2025-07-29 00:00:00,1Day(s),101,101,HNRZ01(101),,15.9469,179.238,0,425.0184,850,0,0.0,69906,0,0.0,850,0,0,69813,0,0,657,655,0,0,850,850,99.6956,74577,74395,0,0,69813,69511,99.3244,848,1,0.1179,232867,2640,1.1337,300914,803,0.2669,0,0,0,4469,4469,100.0,229714,229704,99.9956,0,0,0.0,0,0,0,0,0,0,0,0,0,1336521334,551528,2423.3043,131508693,531876,247.2541,-132108689.3,1234773,-106.9903
26,2025-07-28 00:00:00,2025-07-29 00:00:00,1Day(s),102,102,HNRZ02(102),,48.8425,515.6222,0,1499.8244,2788,0,0.0,206582,0,0.0,2788,0,0,206083,0,0,2560,2556,0,0,2788,2788,99.8437,124952,124235,0,0,206083,205448,99.1198,2651,2,0.0754,664518,6057,0.9115,587946,844,0.1436,0,0,0,19292,19292,100.0,1389909,1389825,99.994,46,44,95.6522,1,1,100,0,0,0,0,0,0,3698510819,1713334,2158.662,422367317,1565147,269.8579,-435496928.7,4093143,-106.3967
27,2025-07-29 00:00:00,2025-07-30 00:00:00,1Day(s),101,101,HNRZ01(101),,12.9353,202.2326,0,433.4543,769,0,0.0,67378,0,0.0,769,0,0,67277,0,0,673,659,0,0,769,769,97.9198,67918,67742,0,0,67277,66995,99.3228,761,0,0.0,232314,2919,1.2565,294108,811,0.2757,0,0,0,4232,4216,99.6219,232451,232444,99.997,0,0,0.0,0,0,0,0,0,0,0,0,0,1524372740,577441,2639.8732,137815445,550951,250.1409,-132065934.5,1234688,-106.963
28,2025-07-29 00:00:00,2025-07-30 00:00:00,1Day(s),102,102,HNRZ02(102),,44.8297,575.1384,0,1473.4904,2415,0,0.0,185719,0,0.0,2415,0,0,185210,0,0,2318,2317,0,0,2415,2415,99.9569,110841,110030,0,0,185210,184677,98.9826,2298,2,0.087,632356,5689,0.8997,557812,736,0.1319,0,0,0,19290,19290,100.0,1377454,1377345,99.9921,46,46,100.0,5,5,100,0,0,0,0,0,0,4175069321,1800902,2318.3207,440567208,1622315,271.567,-435577100.7,4093023,-106.4194
29,2025-07-30 00:00:00,2025-07-31 00:00:00,1Day(s),101,101,HNRZ01(101),,18.2536,186.3954,0,412.8293,821,0,0.0,64930,0,0.0,821,0,0,64825,0,0,641,630,0,0,821,821,98.2839,67068,66898,0,0,64825,64558,99.3357,810,0,0.0,222065,2506,1.1285,285228,733,0.257,0,0,0,5044,5044,100.0,212254,212246,99.9962,0,0,0.0,0,0,0,0,0,0,0,0,0,1404413362,544151,2580.9245,130764668,526138,248.5367,-132217581.6,1233222,-107.2131
30,2025-07-30 00:00:00,2025-07-31 00:00:00,1Day(s),102,102,HNRZ02(102),,44.0656,524.6815,0,1461.4841,2771,0,0.0,195491,0,0.0,2771,0,0,194944,0,0,2492,2489,0,0,2771,2769,99.8075,111483,110600,0,0,194944,194441,98.952,2612,2,0.0766,639129,5769,0.9026,561242,832,0.1482,0,0,0,16649,16649,100.0,1400452,1400400,99.9963,50,48,96.0,2,2,100,0,0,0,0,0,0,3779887932,1698829,2224.9951,423798473,1549203,273.5589,-435222912.9,4089803,-106.4166
